Actual,Predicted
176.66000366210938,173.92932
175.8520050048828,174.5388
176.49000549316406,174.66151
175.6199951171875,174.43098
176.4600067138672,174.96632
178.05999755859375,175.37723
180.22999572753903,175.35527
181.10499572753903,174.91801
183.9900054931641,175.43018
185.4499969482422,175.6883
183.3249969482422,176.10693
182.72999572753903,177.59303
183.05999755859372,179.12326
185.38499450683597,180.23958
187.32000732421875,181.4617
189.32000732421875,181.485
190.22999572753903,181.70421
190.6199951171875,181.66928
186.82000732421875,182.90947
186.13999938964844,184.18199
186.4900054931641,185.07285
185.1199951171875,185.8429
181.6199951171875,185.23648
178.2100067138672,184.8031
178.86000061035156,184.06932
181.8999938964844,182.24066
183.3300018310547,181.51566
173.57000732421875,180.64166
169.0500030517578,178.97368
165.86500549316406,177.62738
169.72000122070312,176.67177
170.1199951171875,176.29465
171.72000122070312,175.41618
170.50999450683594,172.7496
166.38999938964844,169.30779
156.60000610351562,168.26172
158.1300048828125,168.70172
160.24000549316406,169.1749
162.02999877929688,168.57555
160.92999267578125,167.24294
163.5500030517578,164.91917
164.77000427246094,162.23064
159.52999877929688,160.44954
161.49000549316406,161.11504
163.0800018310547,162.01125
166.08999633789062,163.02206
168.66000366210938,163.1845
166.57000732421875,162.92157
165.02999877929688,163.22566
165.66000366210938,163.04262
166.32000732421875,164.27939
166.16000366210938,165.42537
163.27999877929688,166.25047
161.98199462890625,165.93288
163.41000366210938,165.28006
157.85499572753906,164.8749
157.44000244140625,164.97778
157.52000427246094,164.21693
151.93499755859375,162.88698
148.1999969482422,161.53459
149.54299926757812,160.20837
148.6999969482422,158.60489
153.5,155.73257
156.11000061035156,154.36263
157.61000061035156,152.94641
159.41000366210938,151.09651
159.66000366210938,151.47499
162.52200317382812,153.1694
163.17999267578125,155.31714
162.9499969482422,157.37413
162.02999877929688,158.83495
162.77499389648438,159.748
163.5,160.73526
163.8300018310547,161.53638
164.63999938964844,162.35089
165.89999389648438,162.53601
166.25,162.3769
165.3699951171875,162.86514
166.9600067138672,163.39185
164.1300048828125,164.36812
164.30999755859375,165.29599
161.1199951171875,165.88574
161.63999938964844,165.85431
162.5,165.27208
164.77999877929688,164.8293
166.0500030517578,164.24573
165.21600341796875,163.07199
164.3699951171875,163.15761
164.75,162.88405
164.30499267578125,163.52724
164.6699981689453,164.27736
163.63299560546875,164.70972
162.77000427246094,164.57281
165.22999572753906,164.19037
165.7899932861328,163.78983
168.66000366210938,164.1147
175.7449951171875,164.4054
172.55999755859375,164.68173
170.30999755859375,164.92
169.48500061035156,166.27228
170.3699951171875,168.05998
