Actual,Predicted
176.74000549316406,179.25641000928596
178.3699951171875,176.8679520221668
178.77999877929688,178.42654829826648
176.4499969482422,178.668407573673
177.7100067138672,176.28357245808127
180.25999450683597,177.8746273523188
180.7899932861328,180.18744873453304
185.5800018310547,180.52779498009278
185.3699951171875,185.49361745303975
186.8600006103516,185.24473293773414
183.4199981689453,186.4605996366918
184.4900054931641,183.38347765888926
186.6100006103516,184.0933468856538
187.38999938964844,186.40949306191564
191.9600067138672,187.15056931207187
190.47999572753903,191.89202684694854
190.44000244140625,190.48644074618045
192.66000366210935,190.15763521899333
187.3000030517578,192.47361892243956
186.77999877929688,187.157452370134
188.19000244140625,186.77491091784037
185.5,188.29695467338453
182.6199951171875,185.50366486716464
179.22000122070312,183.08479637472107
179.38999938964844,179.7241825033356
183.3500061035156,179.45392625957695
183.6000061035156,183.38616585895838
174.3699951171875,183.79576819261422
169.16000366210938,174.88548406728324
168.67999267578125,169.74420928815377
171.1300048828125,168.98797706221228
171.86000061035156,171.16635089897918
173.14999389648438,172.0932509750628
172.4499969482422,173.4415469636643
168.39999389648438,172.49514457646634
160.63999938964844,168.34588037414431
160.5399932861328,160.79667763635376
160.75,160.99100844140722
163.83999633789062,161.12437058856617
165.38999938964844,164.11547641481408
163.9499969482422,165.66697750404683
165.92999267578125,163.78845898631957
162.02999877929688,165.8616636111368
163.1699981689453,161.86867460037516
164.74000549316406,163.14013204332358
168.39999389648438,164.8749191298082
168.9600067138672,168.2487514671826
167.6300048828125,168.84794066988172
165.49000549316406,167.37962425889097
167.42999267578125,165.3747367803036
167.92999267578125,167.4186158724604
166.3800048828125,167.9328947833704
164.5,166.33867142336348
163.39999389648438,164.62113742288054
165.11000061035156,163.51373218460725
158.61000061035156,165.24813995311217
157.80999755859375,158.71457575796597
158.60000610351562,158.11980827577338
152.1300048828125,159.03212074097965
149.5399932861328,152.21343229093497
150.00999450683594,150.02991765189307
152.14999389648438,150.43251360713498
155.5399932861328,152.26563864377908
158.3699951171875,155.6986163315116
158.99000549316406,158.3345709698891
160.27999877929688,158.7094451486813
160.80999755859375,159.9928024563862
163.24000549316406,160.51426884620025
164.63999938964844,163.0232781505747
163.07000732421875,164.46551260861185
163.63999938964844,162.84506758308444
162.99000549316406,163.58799174404857
163.8300018310547,162.90421296826065
165.2899932861328,163.77813222667652
167.19000244140625,165.32460395833206
168.4199981689453,167.12166702174773
167.30999755859375,168.30944749388382
167.2100067138672,167.13564627891145
168.55999755859375,167.11691205321713
164.38999938964844,168.51780829925943
165.6999969482422,164.25369434158668
163.05999755859375,165.85018243659934
163.17999267578125,163.1581456767606
164.52000427246094,163.23996325046738
166.35000610351562,164.7270150272807
166.89999389648438,166.35194591519263
166.74000549316406,166.8656493354042
164.50999450683594,166.65852996085363
165.0500030517578,164.3980303591685
165.8000030517578,165.0454430740922
166.82000732421875,165.83236343627962
164.47999572753906,166.8138577240233
164.52999877929688,164.47815391732337
166.99000549316406,164.57025416628323
168.33999633789062,167.0411914958817
171.13999938964844,168.23497151893508
176.13999938964844,171.07700947664853
172.69000244140625,176.0315560933631
172.64999389648438,172.25036138857539
170.67999267578125,172.4650608505874
171.41000366210938,170.58336583036495
