Actual,Predicted
182.6699981689453,180.24448
182.22999572753903,181.69016
181.22000122070312,182.84668
181.42999267578125,183.03911
182.72000122070312,183.40729
185.8600006103516,182.90675
185.3300018310547,182.24167
185.4199981689453,181.59999
186.25999450683597,181.87979
194.1999969482422,182.4159
192.5,183.16483
192.82000732421875,184.69492
195.92999267578125,185.76035
196.75999450683597,186.41426
198.1699981689453,188.53825
197.9600067138672,191.02364
199.0500030517578,191.93481
197.69000244140625,191.86984
192.8600006103516,193.23436
193.8300018310547,193.70297
190.8300018310547,193.38211
192.2400054931641,193.58406
185.9900054931641,192.94925
181.4499969482422,192.1731
180.11000061035156,190.93846
182.47999572753903,188.9964
183.55999755859372,187.76012
180.41000366210935,186.15619
176.8000030517578,184.5145
180.2400054931641,182.24153
182.3800048828125,180.98389
179.3800048828125,180.73552
184.4600067138672,180.58969
181.8699951171875,180.60226
160.5500030517578,179.4553
151.61000061035156,179.80907
158.5399932861328,180.25336
161.42999267578125,179.41891
162.5500030517578,177.52628
165.85000610351562,175.05656
166.11000061035156,169.82886
167.10000610351562,164.24504
168.86000061035156,163.10442
173.99000549316406,164.30898
176.25999450683594,165.7184
176.16000366210938,167.42621
177.42999267578125,168.77386
178.88999938964844,170.3323
175.67999267578125,172.53162
175.24000549316406,174.22046
174.3000030517578,176.35362
172.25,176.45851
168.9199981689453,176.66522
170.80999755859375,176.37254
172.60000610351562,175.60794
175.25999450683594,174.16582
172.5399932861328,173.69547
175.0,172.8437
171.16000366210938,172.41428
173.50999450683594,172.75513
176.7899932861328,173.95326
175.72999572753906,174.95938
183.5399932861328,174.17516
185.91000366210935,174.20927
183.3600006103516,175.53091
186.13999938964844,175.98865
185.05999755859372,178.94434
188.47000122070312,181.37524
187.41000366210935,183.07971
190.57000732421875,183.66344
190.1300048828125,183.74059
192.16000366210935,184.19812
189.5399932861328,185.44724
187.33999633789065,186.48112
184.6499938964844,187.90202
183.4499969482422,188.47998
184.0399932861328,188.4728
180.8800048828125,187.54234
183.6000061035156,186.14568
180.25,184.70428
180.9199981689453,183.23044
182.0500030517578,182.33533
185.8300018310547,181.71167
186.3000030517578,181.34029
187.3600006103516,181.08823
184.5800018310547,181.78416
185.6100006103516,181.33159
186.0,182.7193
186.27999877929688,183.853
186.3999938964844,184.48312
186.97999572753903,184.79915
183.69000244140625,184.54164
183.8600006103516,184.64435
187.52999877929688,184.71126
188.2100067138672,185.00963
187.82000732421875,185.12967
192.4199981689453,184.81464
185.22999572753903,184.47588
197.0200042724609,183.9652
194.30999755859372,185.06287
195.9900054931641,186.0409
