Actual,Predicted
209.07000732421875,221.90955341632727
213.25,220.17817875735875
214.1000061035156,224.31368355365686
210.6199951171875,221.9590091866152
216.75,217.39807305256255
220.2700042724609,215.23139401744868
221.5500030517578,215.87446999508137
226.33999633789065,216.7945798068269
227.82000732421875,220.93008460312504
228.67999267578125,221.77104404746532
232.97999572753903,218.32807099908786
227.57000732421875,224.39283392106208
230.5399932861328,227.8753746049477
234.3999938964844,229.14175029065356
234.82000732421875,233.88076342907632
228.8800048828125,235.34502258148976
224.17999267578125,236.19585506422086
224.30999755859372,240.4500929598213
223.9600067138672,235.09768334449424
225.00999450683597,238.03605959132298
218.5399932861328,241.85497801438916
217.4900054931641,242.27052121736386
217.9600067138672,236.39373853092846
218.2400054931641,231.7437487983018
218.8000030517578,231.87237003238388
222.0800018310547,231.5261041584236
218.3600006103516,232.56491687669356
219.8600006103516,226.16377621553875
209.2700042724609,225.12496349726885
207.22999572753903,225.5899624705315
209.82000732421875,225.86698120825537
213.30999755859372,226.421018683703
216.2400054931641,229.6661082653729
217.52999877929688,225.98569921116874
221.2700042724609,227.46973463314177
221.72000122070312,216.9924481771455
224.72000122070312,214.97415154928436
226.0500030517578,217.53659751781342
225.88999938964844,220.98944360458168
226.50999450683597,223.8882673122913
226.3999938964844,225.16453113277694
224.52999877929688,228.8647315529297
226.83999633789065,229.30993916024383
227.17999267578125,232.2780100041899
228.02999877929688,233.59385655657266
226.4900054931641,233.4355558217622
229.7899932861328,234.0489522986666
229.0,233.940122430533
222.7700042724609,232.09002976865108
220.8500061035156,234.3754419030673
222.3800048828125,234.71181964224783
220.82000732421875,235.55277908658815
220.91000366210935,234.029176029107
220.1100006103516,237.29404188033644
222.66000366210935,236.5124565338418
222.7700042724609,230.34876697490273
222.5,228.44920344634394
216.32000732421875,229.96291836904533
216.7899932861328,228.41952394561562
220.69000244140625,228.5085624478006
228.8699951171875,227.71707387013726
228.1999969482422,230.23993710676916
226.47000122070312,230.34876697490273
227.3699951171875,230.0816363719587
226.3699951171875,223.96741767969655
227.5200042724609,224.43240155657023
227.7899932861328,228.29090271153348
233.0,236.38383529975968
226.2100067138672,235.7209679561784
226.77999877929688,234.00938466315841
225.6699981689453,234.89979987778665
226.8000030517578,233.91044292980465
221.69000244140625,235.04821247781732
225.7700042724609,235.3153279843724
229.5399932861328,240.46988432576987
229.0399932861328,233.75215729138313
227.5500030517578,234.31608290161063
231.3000030517578,233.21789608549503
233.8500061035156,234.33587426755915
231.77999877929688,229.2802596595155
232.1499938964844,233.31683781884877
235.0,237.04670264334095
236.47999572753903,236.55202416934995
235.8600006103516,235.0778919785457
230.75999450683597,238.78798053347825
230.57000732421875,241.31084377011018
231.41000366210935,239.2628676415207
233.3999938964844,239.6289248814296
233.6699981689453,242.4485982217339
230.1000061035156,243.91284227775836
225.91000366210935,243.29944580085407
222.91000366210935,238.25371932759018
222.00999450683597,238.0657541884403
223.4499969482422,238.89681040161182
