Actual,Predicted
185.5800018310547,184.99643067979042
185.3699951171875,186.6795967053122
186.8600006103516,187.102976231311
183.4199981689453,184.69696096370802
184.4900054931641,185.99807699418355
186.6100006103516,188.63125499443726
187.38999938964844,189.17854433035248
191.9600067138672,194.12482099736005
190.47999572753903,193.90796307341805
190.44000244140625,195.4465781584295
192.66000366210935,191.89434987933478
187.3000030517578,192.9992648730505
186.77999877929688,195.18842221671144
188.19000244140625,195.99386749434473
185.5,200.7129656721133
182.6199951171875,199.1846711523988
179.22000122070312,199.14337313462278
179.38999938964844,201.43579915760623
183.3500061035156,195.9009351369074
183.6000061035156,195.3639663662891
174.3699951171875,196.81996965916017
169.16000366210938,194.04220920521968
168.67999267578125,191.06824771451932
171.1300048828125,187.5573332097889
171.86000061035156,187.73287735936663
173.14999389648438,191.8220744090796
172.4499969482422,192.08023035079765
168.39999389648438,182.54910163782316
160.63999938964844,177.16914063610804
160.5399932861328,176.67346988326582
160.75,179.2034107173735
163.83999633789062,179.9572216553455
165.38999938964844,181.2892993817119
163.9499969482422,180.56646589621897
165.92999267578125,176.38433648906866
162.02999877929688,168.37118173051167
163.1699981689453,168.26791305118914
164.74000549316406,168.48477097513114
168.39999389648438,171.67557463318525
168.9600067138672,173.27614462315492
167.6300048828125,171.78916387780475
165.49000549316406,173.83375452436712
167.42999267578125,169.80652813620057
167.92999267578125,170.98371860017144
166.3800048828125,172.60494547732324
164.5,176.38433648906866
163.39999389648438,176.96261903405124
165.11000061035156,175.58922753332055
158.61000061035156,173.37941330247745
157.80999755859375,175.3826901746755
158.60000610351562,175.89900205811162
152.1300048828125,174.29844782473023
149.5399932861328,172.35711010090213
150.00999450683594,171.22121765470737
152.14999389648438,172.98701122895773
155.5399932861328,166.27495674428803
158.3699951171875,165.44885457947257
158.99000549316406,166.26463617899108
160.27999877929688,159.58355914680047
160.80999755859375,156.90905161559425
163.24000549316406,157.39438604655126
164.63999938964844,159.60420027739437
163.07000732421875,163.10479421682783
163.63999938964844,166.02712136786693
162.99000549316406,166.66735881780772
163.8300018310547,167.9994365441741
165.2899932861328,168.54672588008935
167.19000244140625,171.05600982701483
168.4199981689453,172.50167679800072
167.30999755859375,170.88046567743714
167.2100067138672,171.46905303112848
168.55999755859375,170.79785388529677
164.38999938964844,171.6652540678883
165.6999969482422,173.1728759438324
163.05999755859375,175.13487055484265
163.17999267578125,176.40499337625084
164.52000427246094,175.25878036475908
166.35000610351562,175.15552744202478
166.89999389648438,176.5495600733494
166.74000549316406,172.24352085628266
164.50999450683594,173.59625546983122
165.0500030517578,170.87012935555197
165.8000030517578,170.9940391654684
166.82000732421875,172.3777669880843
164.47999572753906,174.26747037225113
164.52999877929688,174.83540083876028
166.99000549316406,174.67019301106777
168.33999633789062,172.36743066619908
171.13999938964844,172.92505632399954
176.13999938964844,173.69952414915372
172.69000244140625,174.75280480320814
172.64999389648438,172.33645321371998
170.67999267578125,172.3880875533812
171.41000366210938,174.92834895278585
