id,datetime,open,high,low,close,volume,code
1,2024-11-08,227.17,228.66,226.41,226.96001,38308700,AAPL
2,2024-11-08,182.0,182.3501,179.5701,179.86,15004600,GOOG
3,2024-11-08,209.72,209.9601,207.44,208.1799,36038600,AMZN
