Actual,Predicted
211.6000061035156,194.43445
211.3000030517578,195.79512
212.72000122070312,197.51045
213.0,200.63838
208.8500061035156,204.03333
207.1100006103516,209.48953
206.58999633789065,211.23936
208.6100006103516,211.20412
210.63999938964844,210.58008
212.3500061035156,210.25333
210.3000030517578,208.45497
211.9199981689453,207.18925
215.1000061035156,207.40219
219.02999877929688,208.6292
221.6499938964844,210.14987
223.25,211.97356
226.3699951171875,213.16342
229.25,214.74033
225.7700042724609,218.13506
228.67999267578125,220.4781
233.08999633789065,222.35153
232.3300018310547,224.32889
226.63999938964844,225.32181
222.2700042724609,226.1315
223.27999877929688,226.79977
223.08999633789065,226.15656
222.67999267578125,226.8502
217.1300048828125,226.46841
214.6199951171875,224.50066
216.00999450683597,221.74599
215.75,220.11069
216.1199951171875,219.44449
220.6300048828125,218.42116
217.0200042724609,217.21785
217.7100067138672,215.45314
196.0,215.50677
201.07000732421875,215.85837
206.38999938964844,215.90872
208.8300018310547,215.54796
211.97000122070312,214.59448
215.6000061035156,212.18227
219.00999450683597,210.51097
219.6999969482422,208.27205
222.75999450683597,209.48737
223.6499938964844,211.97389
223.0399932861328,214.40314
225.4499969482422,216.43164
225.0500030517578,218.12852
223.8999938964844,219.89598
224.3300018310547,220.89723
223.88999938964844,221.98349
224.88999938964844,222.34247
225.67999267578125,222.38046
228.8800048828125,222.50961
227.47999572753903,222.53383
221.1699981689453,222.68771
217.47999572753903,223.4736
221.5200042724609,223.59377
219.7700042724609,223.47011
216.7100067138672,222.84781
216.72999572753903,222.35693
217.88999938964844,220.52988
219.82000732421875,218.51935
221.91000366210935,218.11903
213.9199981689453,218.28622
214.5,217.98358
217.5399932861328,218.05336
224.6300048828125,218.0147
227.6199951171875,218.2077
225.80999755859372,217.72623
225.72999572753903,217.34412
224.0200042724609,217.29356
225.41000366210935,219.47757
227.3000030517578,222.03738
229.6499938964844,223.84294
223.7400054931641,223.46407
223.0200042724609,223.28798
223.32000732421875,223.66602
224.1300048828125,223.83284
221.3300018310547,224.29631
223.25,224.3555
224.8300018310547,224.18039
227.1699981689453,222.28044
227.33999633789065,222.19049
228.6000061035156,221.9861
232.3699951171875,222.23048
229.83999633789065,222.37459
230.5200042724609,224.32954
234.00999450683597,225.49364
234.4499969482422,225.83794
232.6000061035156,226.5612
227.75999450683597,228.00925
228.41000366210935,228.63031
229.57000732421875,228.59181
232.5500030517578,229.12543
232.32000732421875,229.54546
229.5500030517578,229.08086
225.3699951171875,228.01106
220.2700042724609,226.87122
219.7100067138672,226.95522
221.13999938964844,226.86475
