Actual,Predicted
186.33999633789065,192.43386575180287
193.6100006103516,192.25839047806775
197.8500061035156,192.67127162210255
193.25,191.38099835898632
197.1999969482422,194.7770064077356
200.0,197.85301345689103
197.58999633789065,194.22993180420684
200.0,195.02472879399414
199.2899932861328,202.52896250239178
199.33999633789065,206.90557508102813
199.7899932861328,202.15736317259802
195.0500030517578,206.2346235339641
194.4900054931641,209.12483879342565
192.72000122070312,206.63718816204013
193.0200042724609,209.12483879342565
187.92999267578125,208.39195664979695
183.75,208.44357073040288
183.1300048828125,208.90806595504347
182.5500030517578,204.0153598215666
186.41000366210935,203.4373199197555
180.8300018310547,201.61028856906924
179.85000610351562,201.91995730229831
182.5,196.66595260458047
183.1999969482422,192.3512863729147
181.7100067138672,191.711315874539
186.97999572753903,191.11262719040437
184.07000732421875,195.09699165692348
167.89999389648438,189.33720992032391
161.02000427246094,188.32564009215452
161.92999267578125,191.06101310979847
162.77000427246094,191.78356298706237
165.8000030517578,190.2455673376877
166.94000244140625,195.6853480746933
166.8000030517578,192.68160388846738
170.22999572753906,175.99061509643855
170.10000610351562,168.88896176652295
177.58999633789062,169.828268731763
177.05999755859375,170.69534433488568
178.22000122070312,173.82296546464693
178.8800048828125,174.99969405059267
180.11000061035156,174.8551840751399
176.1300048828125,178.39568634893593
177.0399932861328,178.26150863984793
175.5,185.99281595218048
173.1199951171875,185.4457413486517
170.8000030517578,186.643118716921
172.1199951171875,187.32438677994384
178.5,188.5940112607365
176.25,184.48578560108814
173.3300018310547,185.42509256632815
177.88999938964844,183.83548283634764
171.38999938964844,181.37879750324439
175.39999389648438,178.9840585171118
179.5500030517578,180.3465788927514
184.5200042724609,186.93213866782656
187.0,184.60964679421735
186.4900054931641,181.5955703416266
184.88999938964844,186.3024846854096
186.8800048828125,179.59306371720524
186.42999267578125,183.7322546751359
189.8699951171875,188.0159713589254
191.6000061035156,193.14609911310797
193.8800048828125,195.7059968570169
193.9600067138672,195.1795710358117
192.52999877929688,193.5280149588605
191.16000366210935,195.5821356638877
187.97000122070312,195.117624688841
186.3300018310547,198.66845922900183
185.1300048828125,200.454208765447
184.75999450683597,202.80766593733853
181.9600067138672,202.8902453162267
186.50999450683597,201.4141645130106
180.8000030517578,200.00003005676513
182.72000122070312,196.7072501692276
185.1699981689453,195.01441227803534
186.6499938964844,193.77575309552495
188.82000732421875,193.3938214993665
187.5399932861328,190.50362199031093
187.69000244140625,195.2002040677292
186.88999938964844,189.30624462204162
187.52999877929688,191.28810246413943
188.9900054931641,193.81703490976605
189.07000732421875,195.34471404318197
189.6999969482422,197.58464228830903
184.7100067138672,196.26338797650445
186.3800048828125,196.41823021832204
187.8300018310547,195.59245217984642
188.38999938964844,196.2530714605457
190.8300018310547,197.76011756204414
192.72999572753903,197.84269694093229
186.3999938964844,198.49298395526674
197.92999267578125,193.34222316916663
195.77999877929688,195.06602635864118
199.5,196.5627401937748
